Coin,ma,ema,bb,obv,rsi,stoch,trix,macd,sar,ichimoku
usd-coin,{'value': 0.9992766666666663},{'value': 0.9995072167083128},"{'valueUpperBand': 1.0002206246859255, 'valueMiddleBand': 0.9995800000000014, 'valueLowerBand': 0.9989393753140772}",{'value': -178917040.57000005},{'value': 58.610634901018045},"{'valueSlowK': 69.44444444444727, 'valueSlowD': 54.07407407407728}",{'value': -0.0009777549008660458},"{'valueMACD': 9.565060563387906e-05, 'valueMACDSignal': 6.523864981922926e-05, 'valueMACDHist': 3.0411955814649803e-05}",{'value': 0.9989},"{'conversion': 0.9995, 'base': 0.9991, 'spanA': 0.9993000000000001, 'spanB': 0.9994, 'currentSpanA': 0.9992, 'currentSpanB': 0.9996, 'laggingSpanA': 1.0000749999999998, 'laggingSpanB': 1.0026000000000002}"
monero,{'value': 156.39266666666668},{'value': 155.85134360320333},"{'valueUpperBand': 164.48746232488662, 'valueMiddleBand': 157.23799999999997, 'valueLowerBand': 149.98853767511332}",{'value': -261863.10635000007},{'value': 37.57254285666659},"{'valueSlowK': 35.52700049797518, 'valueSlowD': 36.572273372459826}",{'value': 0.014042405090464172},"{'valueMACD': -1.1387404564686108, 'valueMACDSignal': -0.19796529856520975, 'valueMACDHist': -0.940775157903401}",{'value': 159.36374951794198},"{'conversion': 155.925, 'base': 157.945, 'spanA': 156.62, 'spanB': 157.81, 'currentSpanA': 154.225, 'currentSpanB': 157.13, 'laggingSpanA': 157.765, 'laggingSpanB': 157.13}"
eos,{'value': 2.831813333333334},{'value': 2.804755814997846},"{'valueUpperBand': 2.9129527893609404, 'valueMiddleBand': 2.8125700000000036, 'valueLowerBand': 2.7121872106390668}",{'value': -985976.2799999855},{'value': 39.287286462004886},"{'valueSlowK': 53.85493403089702, 'valueSlowD': 54.85925413823071}",{'value': 0.0332955766984},"{'valueMACD': -0.020864289119089996, 'valueMACDSignal': -0.013106370511407525, 'valueMACDHist': -0.007757918607682471}",{'value': 2.805761934305896},"{'conversion': 2.7717, 'base': 2.8236, 'spanA': 2.79765, 'spanB': 2.8202, 'currentSpanA': 2.826225, 'currentSpanB': 2.7927, 'laggingSpanA': 2.747375, 'laggingSpanB': 2.78235}"
uniswap,{'value': 8.868183333333322},{'value': 8.753301313022282},"{'valueUpperBand': 9.278641294459767, 'valueMiddleBand': 8.71748, 'valueLowerBand': 8.156318705540233}",{'value': 20978545.53999999},{'value': 35.62378004529626},"{'valueSlowK': 18.868161067826843, 'valueSlowD': 23.218731656600383}",{'value': 0.03781562395086535},"{'valueMACD': -0.19389876309916865, 'valueMACDSignal': -0.14277594827590417, 'valueMACDHist': -0.05112281482326447}",{'value': 8.66437562943019},"{'conversion': 8.5952, 'base': 8.8726, 'spanA': 8.642949999999999, 'spanB': 9.0325, 'currentSpanA': 9.34545, 'currentSpanB': 8.9836, 'laggingSpanA': 8.642325, 'laggingSpanB': 8.28535}"
aave,{'value': 196.28040000000007},{'value': 193.3873900613395},"{'valueUpperBand': 203.00459676935273, 'valueMiddleBand': 192.70789999999997, 'valueLowerBand': 182.4112032306472}",{'value': 627401.3370000002},{'value': 40.070247033480264},"{'valueSlowK': 47.170790291332544, 'valueSlowD': 57.82993270461699}",{'value': 0.07213932686116475},"{'valueMACD': -2.191637383853532, 'valueMACDSignal': -1.5164381092429702, 'valueMACDHist': -0.675199274610562}",{'value': 194.297},"{'conversion': 190.7535, 'base': 195.888, 'spanA': 193.26425, 'spanB': 195.99, 'currentSpanA': 198.6165, 'currentSpanB': 192.778, 'laggingSpanA': 188.3775, 'laggingSpanB': 187.999}"
tron,{'value': 0.03119433333333329},{'value': 0.030930736703444033},"{'valueUpperBand': 0.031767380805693794, 'valueMiddleBand': 0.03090749999999999, 'valueLowerBand': 0.030047619194306187}",{'value': 138594962.60000086},{'value': 38.59850365071388},"{'valueSlowK': 26.985674114607193, 'valueSlowD': 28.846798340657642}",{'value': 0.03375926254107764},"{'valueMACD': -0.00025370273969521975, 'valueMACDSignal': -0.00017836813393665255, 'valueMACDHist': -7.53346057585672e-05}",{'value': 0.031098437597629997},"{'conversion': 0.030805, 'base': 0.03136, 'spanA': 0.0309525, 'spanB': 0.03121, 'currentSpanA': 0.03136, 'currentSpanB': 0.03071, 'laggingSpanA': 0.02997, 'laggingSpanB': 0.03021}"
tezos,{'value': 2.9702500000000005},{'value': 2.936706837395949},"{'valueUpperBand': 3.1107277254026062, 'valueMiddleBand': 2.936165000000002, 'valueLowerBand': 2.761602274597398}",{'value': 9903201.340000007},{'value': 39.72794619713069},"{'valueSlowK': 58.252742829963076, 'valueSlowD': 62.32274637783562}",{'value': 0.01853987878372987},"{'valueMACD': -0.04350923840471621, 'valueMACDSignal': -0.03462542162030648, 'valueMACDHist': -0.008883816784409727}",{'value': 2.9177},"{'conversion': 2.8514, 'base': 2.98895, 'spanA': 2.919875, 'spanB': 2.98895, 'currentSpanA': 2.99305, 'currentSpanB': 2.90075, 'laggingSpanA': 2.9326499999999998, 'laggingSpanB': 2.9335500000000003}"
nem,{'value': 0.24270333333333302},{'value': 0.23936262995764546},"{'valueUpperBand': 0.26094176013640885, 'valueMiddleBand': 0.24370499999999998, 'valueLowerBand': 0.2264682398635911}",{'value': -3427078.5900000087},{'value': 37.14264022175106},"{'valueSlowK': 30.83908045977007, 'valueSlowD': 38.49033603209404}",{'value': 0.16627764861807393},"{'valueMACD': -0.00242332731104844, 'valueMACDSignal': 7.919288093911393e-05, 'valueMACDHist': -0.0025025201919875537}",{'value': 0.2484145594396795},"{'conversion': 0.2373, 'base': 0.24215, 'spanA': 0.23959999999999998, 'spanB': 0.23935, 'currentSpanA': 0.238375, 'currentSpanB': 0.23125, 'laggingSpanA': 0.2222, 'laggingSpanB': 0.22185}"
vechain,{'value': 0.03006703333333334},{'value': 0.030284983663028543},"{'valueUpperBand': 0.032705808916945564, 'valueMiddleBand': 0.030221350000000025, 'valueLowerBand': 0.027736891083054487}",{'value': -1003431630.9000001},{'value': 57.326476175403954},"{'valueSlowK': 66.70627139450781, 'valueSlowD': 76.87026738505357}",{'value': 0.16193385061238352},"{'valueMACD': 0.0006947790295470033, 'valueMACDSignal': 0.00041318890042625573, 'valueMACDHist': 0.00028159012912074753}",{'value': 0.02975113206171018},"{'conversion': 0.031155000000000002, 'base': 0.030905500000000002, 'spanA': 0.031030250000000002, 'spanB': 0.030212, 'currentSpanA': 0.029776499999999997, 'currentSpanB': 0.028339499999999997, 'laggingSpanA': 0.02678775, 'laggingSpanB': 0.026980499999999998}"
theta,{'value': 2.0350946666666667},{'value': 2.0190235287731793},"{'valueUpperBand': 2.088298075642263, 'valueMiddleBand': 2.0189535000000003, 'valueLowerBand': 1.9496089243577375}",{'value': 40057451},{'value': 38.04910881398789},"{'valueSlowK': 61.30682722384978, 'valueSlowD': 69.50789956320132}",{'value': -0.010780248834052486},"{'valueMACD': -0.015644220759230887, 'valueMACDSignal': -0.011724846749973646, 'valueMACDHist': -0.003919374009257241}",{'value': 2.02629},"{'conversion': 1.9910999999999999, 'base': 2.02305, 'spanA': 2.004025, 'spanB': 2.02305, 'currentSpanA': 2.032375, 'currentSpanB': 2.011975, 'laggingSpanA': 2.011955, 'laggingSpanB': 2.106975}"
cosmos,{'value': 9.200733333333329},{'value': 9.131867209763907},"{'valueUpperBand': 9.51957853931246, 'valueMiddleBand': 9.112099999999996, 'valueLowerBand': 8.704621460687532}",{'value': 5654712.251999995},{'value': 38.72923990693448},"{'valueSlowK': 32.9078787288065, 'valueSlowD': 32.65280310690275}",{'value': 0.0922304089722159},"{'valueMACD': -0.09964829830539301, 'valueMACDSignal': -0.050799390612184914, 'valueMACDHist': -0.0488489076932081}",{'value': 9.39269848816},"{'conversion': 9.0895, 'base': 9.1625, 'spanA': 9.01775, 'spanB': 9.3425, 'currentSpanA': 9.552, 'currentSpanB': 9.1045, 'laggingSpanA': 8.844, 'laggingSpanB': 8.5685}"
neo,{'value': 26.629933333333327},{'value': 26.27773651293786},"{'valueUpperBand': 28.128875172939527, 'valueMiddleBand': 26.439350000000008, 'valueLowerBand': 24.74982482706049}",{'value': 1736533.7190000005},{'value': 37.5219111370223},"{'valueSlowK': 51.38272889982492, 'valueSlowD': 55.47636420979861}",{'value': 0.14865062120128503},"{'valueMACD': -0.37768279187537956, 'valueMACDSignal': -0.2166274137197825, 'valueMACDHist': -0.16105537815559706}",{'value': 26.462046949092507},"{'conversion': 25.7905, 'base': 26.8145, 'spanA': 26.233249999999998, 'spanB': 26.287999999999997, 'currentSpanA': 26.636, 'currentSpanB': 25.2765, 'laggingSpanA': 23.661749999999998, 'laggingSpanB': 23.451999999999998}"
synthetix-network-token,{'value': 15.604933333333346},{'value': 15.416336820472583},"{'valueUpperBand': 16.57911583943538, 'valueMiddleBand': 15.507100000000007, 'valueLowerBand': 14.435084160564633}",{'value': 1487622.4290000012},{'value': 38.71937376408973},"{'valueSlowK': 51.63439489871297, 'valueSlowD': 57.164256592909624}",{'value': 0.01394226267847909},"{'valueMACD': -0.21813081848980076, 'valueMACDSignal': -0.13506282154379623, 'valueMACDHist': -0.08306799694600453}",{'value': 15.361},"{'conversion': 15.085, 'base': 15.6915, 'spanA': 15.344, 'spanB': 15.651499999999999, 'currentSpanA': 15.693, 'currentSpanB': 15.354, 'laggingSpanA': 15.39875, 'laggingSpanB': 15.782499999999999}"
