Coin,ma,ema,bb,obv,rsi,stoch,trix,macd,sar,ichimoku
waves,{'value': 7.329000000000002},{'value': 7.232989901985811},"{'valueUpperBand': 7.731491271146096, 'valueMiddleBand': 7.204250000000006, 'valueLowerBand': 6.677008728853917}",{'value': -4236249.779999995},{'value': 33.00917806426876},"{'valueSlowK': 27.885259462268834, 'valueSlowD': 44.32995356755649}",{'value': 0.002691959294076618},"{'valueMACD': -0.16907207536636104, 'valueMACDSignal': -0.13417384859223683, 'valueMACDHist': -0.034898226774124214}",{'value': 7.1566},"{'conversion': 7.0055499999999995, 'base': 7.3408, 'spanA': 7.1215, 'spanB': 7.41915, 'currentSpanA': 7.705, 'currentSpanB': 7.28895, 'laggingSpanA': 7.5455000000000005, 'laggingSpanB': 7.2835}"
decred,{'value': 55.52343333333335},{'value': 55.491106624420354},"{'valueUpperBand': 57.18101849834669, 'valueMiddleBand': 55.47410000000002, 'valueLowerBand': 53.767181501653354}",{'value': 37720.68500000002},{'value': 49.10137290716843},"{'valueSlowK': 62.20253195133815, 'valueSlowD': 70.51893897025671}",{'value': -0.030808237579016406},"{'valueMACD': -0.09905273622368327, 'valueMACDSignal': -0.0759053097831809, 'valueMACDHist': -0.02314742644050237}",{'value': 57.1796918635022},"{'conversion': 55.3475, 'base': 55.941500000000005, 'spanA': 55.429, 'spanB': 55.941500000000005, 'currentSpanA': 55.42375, 'currentSpanB': 55.314, 'laggingSpanA': 55.67425, 'laggingSpanB': 56.692499999999995}"
the-graph,{'value': 0.5490270000000003},{'value': 0.5523868332739855},"{'valueUpperBand': 0.5843231717310695, 'valueMiddleBand': 0.5500755000000002, 'valueLowerBand': 0.5158278282689308}",{'value': -34463188.499999955},{'value': 34.61020203919199},"{'valueSlowK': 23.432495362542383, 'valueSlowD': 42.79462468173074}",{'value': 0.12315245751401971},"{'valueMACD': -0.007875326390989756, 'valueMACDSignal': -0.004992991350104249, 'valueMACDHist': -0.0028823350408855074}",{'value': 0.5760081096451227},"{'conversion': 0.553895, 'base': 0.55842, 'spanA': 0.54078, 'spanB': 0.583305, 'currentSpanA': 0.5918975, 'currentSpanB': 0.538205, 'laggingSpanA': 0.5400325, 'laggingSpanB': 0.501155}"
algorand,{'value': 0.5389966666666662},{'value': 0.5350047516083475},"{'valueUpperBand': 0.554178651048367, 'valueMiddleBand': 0.5304849999999995, 'valueLowerBand': 0.506791348951632}",{'value': 47161994.29000001},{'value': 35.5959885999344},"{'valueSlowK': 26.426963828538742, 'valueSlowD': 46.372141647732214}",{'value': -0.0200378211857144},"{'valueMACD': -0.008124933962088132, 'valueMACDSignal': -0.0069081877014041514, 'valueMACDHist': -0.0012167462606839808}",{'value': 0.5437},"{'conversion': 0.5246500000000001, 'base': 0.53985, 'spanA': 0.53, 'spanB': 0.5468500000000001, 'currentSpanA': 0.562025, 'currentSpanB': 0.54495, 'laggingSpanA': 0.561975, 'laggingSpanB': 0.54495}"
hedera-hashgraph,{'value': 0.07552466666666661},{'value': 0.07930890227258003},"{'valueUpperBand': 0.10704243417263445, 'valueMiddleBand': 0.08094199999999997, 'valueLowerBand': 0.0548415658273655}",{'value': 886318878.3000004},{'value': 62.51069701857354},"{'valueSlowK': 13.860175651964513, 'valueSlowD': 25.35654782501611}",{'value': 0.5678171807700139},"{'valueMACD': 0.007781993374801274, 'valueMACDSignal': 0.007035933739235148, 'valueMACDHist': 0.0007460596355661261}",{'value': 0.1143628},"{'conversion': 0.09243000000000001, 'base': 0.08916, 'spanA': 0.09295, 'spanB': 0.08716, 'currentSpanA': 0.062462500000000004, 'currentSpanB': 0.05956, 'laggingSpanA': 0.0601075, 'laggingSpanB': 0.061145}"
elrond-egld,{'value': 38.22323333333331},{'value': 37.92977677069245},"{'valueUpperBand': 38.92441681092172, 'valueMiddleBand': 37.677600000000005, 'valueLowerBand': 36.43078318907829}",{'value': 327311.6489999999},{'value': 37.85267383775711},"{'valueSlowK': 44.900152530975696, 'valueSlowD': 62.4980851626764}",{'value': -0.009633280237042463},"{'valueMACD': -0.487907651068042, 'valueMACDSignal': -0.43602176291448175, 'valueMACDHist': -0.05188588815356027}",{'value': 37.843},"{'conversion': 37.1395, 'base': 38.146, 'spanA': 37.605500000000006, 'spanB': 38.596000000000004, 'currentSpanA': 39.34075, 'currentSpanB': 38.2685, 'laggingSpanA': 37.952, 'laggingSpanB': 37.5685}"
ren,{'value': 0.6564576666666663},{'value': 0.6653586215926875},"{'valueUpperBand': 0.7606263015290269, 'valueMiddleBand': 0.6813899999999999, 'valueLowerBand': 0.602153698470973}",{'value': 73551160.60000002},{'value': 49.53185769881106},"{'valueSlowK': 30.95220943215584, 'valueSlowD': 39.32260131699151}",{'value': 0.27799473810334874},"{'valueMACD': 0.01997449589506628, 'valueMACDSignal': 0.025211373411969693, 'valueMACDHist': -0.005236877516903413}",{'value': 0.7661960467830067},"{'conversion': 0.725155, 'base': 0.686315, 'spanA': 0.6944725, 'spanB': 0.67457, 'currentSpanA': 0.59554, 'currentSpanB': 0.62107, 'laggingSpanA': 0.632125, 'laggingSpanB': 0.58536}"
loopring,{'value': 0.4636413333333333},{'value': 0.45359090013569014},"{'valueUpperBand': 0.5117831065042349, 'valueMiddleBand': 0.46664399999999984, 'valueLowerBand': 0.4215048934957648}",{'value': 166357271.70000008},{'value': 39.62206155649424},"{'valueSlowK': 35.91604586836723, 'valueSlowD': 42.13858717374483}",{'value': 0.28879900618221654},"{'valueMACD': -0.004299096189364471, 'valueMACDSignal': 0.0028547608002180646, 'valueMACDHist': -0.007153856989582536}",{'value': 0.48281063809349783},"{'conversion': 0.45559000000000005, 'base': 0.469895, 'spanA': 0.454875, 'spanB': 0.45606, 'currentSpanA': 0.4371425, 'currentSpanB': 0.416325, 'laggingSpanA': 0.4080325, 'laggingSpanB': 0.40059}"
omg,{'value': 3.9160833333333347},{'value': 3.875844630560098},"{'valueUpperBand': 4.10280916028968, 'valueMiddleBand': 3.8583800000000057, 'valueLowerBand': 3.6139508397103315}",{'value': 4820784.8499999875},{'value': 36.79527586929193},"{'valueSlowK': 48.41993975903615, 'valueSlowD': 55.17876915144092}",{'value': 0.03157544656346989},"{'valueMACD': -0.08042870192925955, 'valueMACDSignal': -0.06276473893265364, 'valueMACDHist': -0.017663962996605914}",{'value': 3.8225},"{'conversion': 3.81, 'base': 3.90475, 'spanA': 3.822925, 'spanB': 3.9631499999999997, 'currentSpanA': 4.137475, 'currentSpanB': 3.8897500000000003, 'laggingSpanA': 3.96685, 'laggingSpanB': 3.8897500000000003}"
ontology,{'value': 0.6689066666666668},{'value': 0.661937491156132},"{'valueUpperBand': 0.7013164115571754, 'valueMiddleBand': 0.6589599999999998, 'valueLowerBand': 0.6166035884428241}",{'value': -108883.25000000303},{'value': 30.584851147128212},"{'valueSlowK': 26.9517612763581, 'valueSlowD': 41.63799045122364}",{'value': -0.011266083761318768},"{'valueMACD': -0.014924554585811656, 'valueMACDSignal': -0.011756906070808076, 'valueMACDHist': -0.00316764851500358}",{'value': 0.652872},"{'conversion': 0.64595, 'base': 0.6624000000000001, 'spanA': 0.64705, 'spanB': 0.6712, 'currentSpanA': 0.6983250000000001, 'currentSpanB': 0.6697500000000001, 'laggingSpanA': 0.6558249999999999, 'laggingSpanB': 0.6524}"
celo,{'value': 2.197646666666664},{'value': 2.2090712153874255},"{'valueUpperBand': 2.3181814577918347, 'valueMiddleBand': 2.198865000000001, 'valueLowerBand': 2.079548542208167}",{'value': -2502038.009999997},{'value': 52.70066820312588},"{'valueSlowK': 44.916230492755574, 'valueSlowD': 55.14402186924347}",{'value': 0.02708796646417877},"{'valueMACD': 0.01650118872417128, 'valueMACDSignal': 0.0009353229947866612, 'valueMACDHist': 0.015565865729384617}",{'value': 2.1350076479999998},"{'conversion': 2.36985, 'base': 2.36985, 'spanA': 2.36985, 'spanB': 2.36985, 'currentSpanA': 2.25575, 'currentSpanB': 2.2364, 'laggingSpanA': 2.1727749999999997, 'laggingSpanB': 2.15605}"
nano,{'value': 3.5263500000000003},{'value': 3.4833928633577136},"{'valueUpperBand': 3.7049495425593344, 'valueMiddleBand': 3.4819700000000022, 'valueLowerBand': 3.25899045744067}",{'value': 13335846.329999998},{'value': 34.041617388722415},"{'valueSlowK': 33.54099011798029, 'valueSlowD': 46.74556150525233}",{'value': 0.021828970774229184},"{'valueMACD': -0.06685548115284634, 'valueMACDSignal': -0.04066724625587655, 'valueMACDHist': -0.026188234896969788}",{'value': 3.511560707823014},"{'conversion': 3.3659499999999998, 'base': 3.4486499999999998, 'spanA': 3.368275, 'spanB': 3.496, 'currentSpanA': 3.62325, 'currentSpanB': 3.556, 'laggingSpanA': 3.424975, 'laggingSpanB': 3.50515}"
terra-luna,{'value': 0.9279600000000005},{'value': 0.9076879314230143},"{'valueUpperBand': 0.9440157832575804, 'valueMiddleBand': 0.9223749999999996, 'valueLowerBand': 0.9007342167424188}",{'value': 22416058.150000006},{'value': 48.92066898162787},"{'valueSlowK': 23.375799136993223, 'valueSlowD': 41.2842498240001}",{'value': 0.27685001522517183},"{'valueMACD': 0.007100617285887401, 'valueMACDSignal': 0.011468083544328898, 'valueMACDHist': -0.004367466258441498}",{'value': 0.955898396667184},"{'conversion': 0.925, 'base': 0.9489000000000001, 'spanA': 0.9389750000000001, 'spanB': 0.8959, 'currentSpanA': 0.8654999999999999, 'currentSpanB': 0.8440000000000001, 'laggingSpanA': 0.79625, 'laggingSpanB': 0.7884500000000001}"
trueusd,{'value': 0.9995299999999999},{'value': 0.9996303416728278},"{'valueUpperBand': 1.0003262084999411, 'valueMiddleBand': 0.9997050000000001, 'valueLowerBand': 0.9990837915000589}",{'value': -35547229.00000002},{'value': 54.068513113542224},"{'valueSlowK': 15.228261575428059, 'valueSlowD': 26.484286105537127}",{'value': -0.0007209982018863137},"{'valueMACD': 5.375290955844658e-05, 'valueMACDSignal': 2.397417557251901e-05, 'valueMACDHist': 2.977873398592757e-05}",{'value': 0.9993935999999999},"{'conversion': 1.0020499999999999, 'base': 1.00155, 'spanA': 1.0019, 'spanB': 1.00155, 'currentSpanA': 0.9992749999999999, 'currentSpanB': 1.0007000000000001, 'laggingSpanA': 1.0009000000000001, 'laggingSpanB': 1.00055}"
icon,{'value': 0.7122966666666666},{'value': 0.702722182948633},"{'valueUpperBand': 0.7329783060329159, 'valueMiddleBand': 0.6987399999999999, 'valueLowerBand': 0.6645016939670839}",{'value': 23801916.919999983},{'value': 41.34025741809691},"{'valueSlowK': 47.3467964493119, 'valueSlowD': 53.68575814415692}",{'value': 0.06950053474494844},"{'valueMACD': -0.010464095511666271, 'valueMACDSignal': -0.008746646559746258, 'valueMACDHist': -0.0017174489519200132}",{'value': 0.708},"{'conversion': 0.6891, 'base': 0.7168, 'spanA': 0.698475, 'spanB': 0.71955, 'currentSpanA': 0.7316, 'currentSpanB': 0.69455, 'laggingSpanA': 0.6647000000000001, 'laggingSpanB': 0.66815}"
basic-attention-token,{'value': 0.2780533333333334},{'value': 0.27593088803137933},"{'valueUpperBand': 0.2872818944156479, 'valueMiddleBand': 0.27513999999999966, 'valueLowerBand': 0.26299810558435144}",{'value': 98215910.26},{'value': 39.26133340098064},"{'valueSlowK': 32.04527198604221, 'valueSlowD': 39.71347445339095}",{'value': 0.02981100927292868},"{'valueMACD': -0.003222312658744231, 'valueMACDSignal': -0.0020218989930208832, 'valueMACDHist': -0.0012004136657233475}",{'value': 0.28937999999999997},"{'conversion': 0.27444999999999997, 'base': 0.27765, 'spanA': 0.27294999999999997, 'spanB': 0.27885, 'currentSpanA': 0.28352499999999997, 'currentSpanB': 0.27435, 'laggingSpanA': 0.26970000000000005, 'laggingSpanB': 0.2663}"
0x,{'value': 0.5560566666666673},{'value': 0.5521015531091359},"{'valueUpperBand': 0.5779871297957505, 'valueMiddleBand': 0.5470500000000003, 'valueLowerBand': 0.51611287020425}",{'value': 43005116.36999997},{'value': 34.467268511307914},"{'valueSlowK': 41.574373000329366, 'valueSlowD': 47.271418445406475}",{'value': -0.058483061985370455},"{'valueMACD': -0.01236337082489014, 'valueMACDSignal': -0.01059491633687655, 'valueMACDHist': -0.0017684544880135905}",{'value': 0.5460354729034468},"{'conversion': 0.53755, 'base': 0.5506, 'spanA': 0.5392750000000001, 'spanB': 0.5688, 'currentSpanA': 0.586625, 'currentSpanB': 0.5708, 'laggingSpanA': 0.5844, 'laggingSpanB': 0.5661499999999999}"
reserve-rights,{'value': 0.043917666666666674},{'value': 0.04313557156317101},"{'valueUpperBand': 0.045266641689831626, 'valueMiddleBand': 0.04264199999999999, 'valueLowerBand': 0.04001735831016836}",{'value': 307615111.50000066},{'value': 43.27997003281315},"{'valueSlowK': 27.24660397074193, 'valueSlowD': 35.0003439202223}",{'value': 0.04979354633987132},"{'valueMACD': -0.0008902464148488054, 'valueMACDSignal': -0.000781098612148971, 'valueMACDHist': -0.00010914780269983442}",{'value': 0.042947},"{'conversion': 0.041725, 'base': 0.04424, 'spanA': 0.0429825, 'spanB': 0.044770000000000004, 'currentSpanA': 0.045630000000000004, 'currentSpanB': 0.04293, 'laggingSpanA': 0.0408225, 'laggingSpanB': 0.041045}"
blockstack,{'value': 0.5020133333333333},{'value': 0.5000158627861238},"{'valueUpperBand': 0.5225936477959139, 'valueMiddleBand': 0.5052799999999998, 'valueLowerBand': 0.48796635220408585}",{'value': 5371036.920000005},{'value': 42.503381593907754},"{'valueSlowK': 25.301405702508657, 'valueSlowD': 43.94332491240839}",{'value': 0.06563247556592433},"{'valueMACD': -1.861022667470902e-05, 'valueMACDSignal': 0.0027514617525437246, 'valueMACDHist': -0.0027700719792184336}",{'value': 0.5254577833543772},"{'conversion': 0.49905, 'base': 0.5039, 'spanA': 0.50195, 'spanB': 0.50325, 'currentSpanA': 0.4788, 'currentSpanB': 0.49160000000000004, 'laggingSpanA': 0.4899, 'laggingSpanB': 0.49160000000000004}"
digibyte,{'value': 0.027023666666666665},{'value': 0.02679576981526862},"{'valueUpperBand': 0.02768786462530366, 'valueMiddleBand': 0.02678950000000001, 'valueLowerBand': 0.025891135374696363}",{'value': 18972586.49999998},{'value': 37.646212774934575},"{'valueSlowK': 17.63504611330708, 'valueSlowD': 37.26576123056463}",{'value': -0.0017297680970584928},"{'valueMACD': -0.0002432595811977245, 'valueMACDSignal': -0.0001723300511130541, 'valueMACDHist': -7.09295300846704e-05}",{'value': 0.026862},"{'conversion': 0.026445000000000003, 'base': 0.026825, 'spanA': 0.026617500000000002, 'spanB': 0.026925, 'currentSpanA': 0.02718, 'currentSpanB': 0.0266, 'laggingSpanA': 0.026245, 'laggingSpanB': 0.027035}"
bittorrent,{'value': 0.0003725933333333332},{'value': 0.0003678147853333275},"{'valueUpperBand': 0.0003830964281180134, 'valueMiddleBand': 0.0003690300000000001, 'valueLowerBand': 0.00035496357188198683}",{'value': 21196965742},{'value': 39.535036699479015},"{'valueSlowK': 22.108022756341388, 'valueSlowD': 32.488723515720935}",{'value': 0.05699349100396489},"{'valueMACD': -3.4146326394109963e-06, 'valueMACDSignal': -1.59260943331001e-06, 'valueMACDHist': -1.8220232061009862e-06}",{'value': 0.0003669388036682506},"{'conversion': 0.0003635, 'base': 0.00037845, 'spanA': 0.0003681, 'spanB': 0.00037845, 'currentSpanA': 0.00038195, 'currentSpanB': 0.00037465, 'laggingSpanA': 0.000360925, 'laggingSpanB': 0.0003615}"
enjin-coin,{'value': 0.3726833333333334},{'value': 0.3691018769229341},"{'valueUpperBand': 0.44693169076530226, 'valueMiddleBand': 0.38944799999999985, 'valueLowerBand': 0.33196430923469744}",{'value': 181732527.49999997},{'value': 57.080584127077},"{'valueSlowK': 36.07570382786212, 'valueSlowD': 38.28944981402952}",{'value': 1.0309647251493415},"{'valueMACD': 0.022325884966628906, 'valueMACDSignal': 0.02702000608817575, 'valueMACDHist': -0.0046941211215468445}",{'value': 0.3579012676487776},"{'conversion': 0.41292, 'base': 0.38024, 'spanA': 0.40221, 'spanB': 0.3511, 'currentSpanA': 0.28179, 'currentSpanB': 0.274045, 'laggingSpanA': 0.2432825, 'laggingSpanB': 0.24267}"
horizen,{'value': 29.46376666666666},{'value': 29.4706149472293},"{'valueUpperBand': 30.550903209578372, 'valueMiddleBand': 29.268799999999956, 'valueLowerBand': 27.98669679042154}",{'value': 806381.4880000001},{'value': 45.93407404158148},"{'valueSlowK': 24.866275128938835, 'valueSlowD': 43.72341729114482}",{'value': 0.07554035651153868},"{'valueMACD': -0.1462070927738992, 'valueMACDSignal': -0.18221549094593487, 'valueMACDHist': 0.03600839817203566}",{'value': 27.9076954059776},"{'conversion': 29.054499999999997, 'base': 29.4335, 'spanA': 29.244, 'spanB': 30.018, 'currentSpanA': 30.566750000000003, 'currentSpanB': 28.490499999999997, 'laggingSpanA': 29.813, 'laggingSpanB': 28.490499999999997}"
qtum,{'value': 3.232799999999999},{'value': 3.2062086951983666},"{'valueUpperBand': 3.3808527543351508, 'valueMiddleBand': 3.2029499999999977, 'valueLowerBand': 3.0250472456648447}",{'value': 5647721.765},{'value': 41.749401167580366},"{'valueSlowK': 14.999632973647714, 'valueSlowD': 36.27394003211288}",{'value': 0.039177471787832374},"{'valueMACD': -0.03152484785428733, 'valueMACDSignal': -0.021307949388013617, 'valueMACDHist': -0.010216898466273713}",{'value': 3.0338629689279997},"{'conversion': 3.151, 'base': 3.2165, 'spanA': 3.18375, 'spanB': 3.2165, 'currentSpanA': 3.2645, 'currentSpanB': 3.1130000000000004, 'laggingSpanA': 3.1370000000000005, 'laggingSpanB': 3.0890000000000004}"
thorchain,{'value': 2.031183333333332},{'value': 1.9991541667573391},"{'valueUpperBand': 2.097145165561858, 'valueMiddleBand': 1.9885000000000017, 'valueLowerBand': 1.8798548344381458}",{'value': 4667586.7899999935},{'value': 35.284723174956675},"{'valueSlowK': 14.898202494497449, 'valueSlowD': 32.49758155225587}",{'value': 0.04540402152459766},"{'valueMACD': -0.039150673131155944, 'valueMACDSignal': -0.027042816902026905, 'valueMACDHist': -0.012107856229129039}",{'value': 2.027275193641881},"{'conversion': 1.9502000000000002, 'base': 2.008, 'spanA': 1.9791, 'spanB': 2.03395, 'currentSpanA': 2.114475, 'currentSpanB': 2.00445, 'laggingSpanA': 1.915225, 'laggingSpanB': 1.991}"
iostoken,{'value': 0.01810069999999999},{'value': 0.017941029641770617},"{'valueUpperBand': 0.0190370799478258, 'valueMiddleBand': 0.017672400000000015, 'valueLowerBand': 0.01630772005217423}",{'value': 6545085170},{'value': 31.537587845213906},"{'valueSlowK': 18.029375876514532, 'valueSlowD': 38.89160632155264}",{'value': -0.19942070935382583},"{'valueMACD': -0.0005660297746479942, 'valueMACDSignal': -0.0004990847449710176, 'valueMACDHist': -6.694502967697659e-05}",{'value': 0.01796454},"{'conversion': 0.0171615, 'base': 0.0178275, 'spanA': 0.017417000000000002, 'spanB': 0.0187555, 'currentSpanA': 0.0198835, 'currentSpanB': 0.019762000000000002, 'laggingSpanA': 0.020671500000000002, 'laggingSpanB': 0.021249999999999998}"
curve-dao-token,{'value': 1.4041000000000012},{'value': 1.3957085713293684},"{'valueUpperBand': 1.4870120081039755, 'valueMiddleBand': 1.3724999999999996, 'valueLowerBand': 1.2579879918960237}",{'value': 85168926.57699998},{'value': 39.71263471166894},"{'valueSlowK': 18.506630444221116, 'valueSlowD': 47.213675125696774}",{'value': -0.07200594738177024},"{'valueMACD': -0.033313177141405026, 'valueMACDSignal': -0.032360155606497895, 'valueMACDHist': -0.0009530215349071308}",{'value': 1.449},"{'conversion': 1.3545, 'base': 1.395, 'spanA': 1.3747500000000001, 'spanB': 1.462, 'currentSpanA': 1.5265, 'currentSpanB': 1.5225, 'laggingSpanA': 1.5907499999999999, 'laggingSpanB': 1.4115}"
ocean-protocol,{'value': 0.5971166666666664},{'value': 0.5931277588343989},"{'valueUpperBand': 0.6329183022963282, 'valueMiddleBand': 0.5995799999999997, 'valueLowerBand': 0.5662416977036712}",{'value': 23904471.759999998},{'value': 39.87994998536284},"{'valueSlowK': 11.673977372905386, 'valueSlowD': 34.76722545851532}",{'value': 0.1336123240235354},"{'valueMACD': -0.0004994258846896527, 'valueMACDSignal': 0.0040120777833253865, 'valueMACDHist': -0.004511503668015039}",{'value': 0.63206},"{'conversion': 0.6047, 'base': 0.60395, 'spanA': 0.5975250000000001, 'spanB': 0.59935, 'currentSpanA': 0.576475, 'currentSpanB': 0.55875, 'laggingSpanA': 0.578525, 'laggingSpanB': 0.55875}"
kyber-network,{'value': 1.2968333333333333},{'value': 1.2755507338826189},"{'valueUpperBand': 1.3724445729856245, 'valueMiddleBand': 1.2764, 'valueLowerBand': 1.1803554270143755}",{'value': 16480208.710999997},{'value': 34.15838165454899},"{'valueSlowK': 14.101987251593608, 'valueSlowD': 34.15474934792038}",{'value': 0.08278278720719179},"{'valueMACD': -0.027275297783572627, 'valueMACDSignal': -0.015689902875413577, 'valueMACDHist': -0.01158539490815905}",{'value': 1.2765150123897138},"{'conversion': 1.2495, 'base': 1.306, 'spanA': 1.26425, 'spanB': 1.2925, 'currentSpanA': 1.31975, 'currentSpanB': 1.262, 'laggingSpanA': 1.2025000000000001, 'laggingSpanB': 1.2095}"
paxos-standard,{'value': 0.9994566666666672},{'value': 0.9996131012158016},"{'valueUpperBand': 1.0003392350429543, 'valueMiddleBand': 0.9997350000000017, 'valueLowerBand': 0.9991307649570492}",{'value': -5059184.629999999},{'value': 59.40810718567421},"{'valueSlowK': 51.11111111110913, 'valueSlowD': 44.074074074072946}",{'value': -0.0007472906165095772},"{'valueMACD': 0.00011925257537725997, 'valueMACDSignal': 7.211594116858195e-05, 'valueMACDHist': 4.7136634208678023e-05}",{'value': 1.0015},"{'conversion': 1.0004, 'base': 0.9999, 'spanA': 0.99995, 'spanB': 0.9999, 'currentSpanA': 0.9995499999999999, 'currentSpanB': 1.0002499999999999, 'laggingSpanA': 1.0005000000000002, 'laggingSpanB': 1.0005}"
siacoin,{'value': 0.005047933333333334},{'value': 0.004966953216215857},"{'valueUpperBand': 0.005238333090847285, 'valueMiddleBand': 0.0049834499999999995, 'valueLowerBand': 0.004728566909152714}",{'value': 3854283127},{'value': 39.95931701529531},"{'valueSlowK': 12.418575711471904, 'valueSlowD': 25.439602229241032}",{'value': 0.12339314517118005},"{'valueMACD': -4.42213731006837e-05, 'valueMACDSignal': -1.6603164252683866e-05, 'valueMACDHist': -2.7618208847999833e-05}",{'value': 0.0053360199999999995},"{'conversion': 0.0050244999999999995, 'base': 0.0051, 'spanA': 0.00504575, 'spanB': 0.005074, 'currentSpanA': 0.004992, 'currentSpanB': 0.004763, 'laggingSpanA': 0.0046082499999999995, 'laggingSpanB': 0.004703499999999999}"
augur,{'value': 21.314999999999998},{'value': 21.126900341047936},"{'valueUpperBand': 22.530541378588104, 'valueMiddleBand': 21.283650000000023, 'valueLowerBand': 20.03675862141194}",{'value': -15713.979999999969},{'value': 34.88604597467748},"{'valueSlowK': 17.50555687200327, 'valueSlowD': 30.82695226477001}",{'value': 0.06942871856989719},"{'valueMACD': -0.2528006942326151, 'valueMACDSignal': -0.11773422708875736, 'valueMACDHist': -0.13506646714385773}",{'value': 21.8001},"{'conversion': 21.000500000000002, 'base': 21.389000000000003, 'spanA': 21.05425, 'spanB': 21.2485, 'currentSpanA': 21.328249999999997, 'currentSpanB': 20.5095, 'laggingSpanA': 21.054499999999997, 'laggingSpanB': 20.5095}"
decentraland,{'value': 0.12730566666666665},{'value': 0.12703135661284992},"{'valueUpperBand': 0.13767221919608952, 'valueMiddleBand': 0.12988000000000008, 'valueLowerBand': 0.12208778080391063}",{'value': 61314727.499999866},{'value': 47.47218146819656},"{'valueSlowK': 13.537357553644258, 'valueSlowD': 34.82448738648273}",{'value': 0.2908492782442318},"{'valueMACD': 0.0023088673014139693, 'valueMACDSignal': 0.003177116018739434, 'valueMACDHist': -0.0008682487173254645}",{'value': 0.1440578},"{'conversion': 0.132, 'base': 0.13131500000000002, 'spanA': 0.1320925, 'spanB': 0.12743500000000002, 'currentSpanA': 0.11661250000000001, 'currentSpanB': 0.11205999999999999, 'laggingSpanA': 0.10998250000000001, 'laggingSpanB': 0.111625}"
band-protocol,{'value': 9.769756666666668},{'value': 9.563557954010758},"{'valueUpperBand': 10.295508099439797, 'valueMiddleBand': 9.487299999999994, 'valueLowerBand': 8.679091900560191}",{'value': 4618075.319999994},{'value': 34.24469589946415},"{'valueSlowK': 22.057605753517205, 'valueSlowD': 39.87977283547219}",{'value': -0.08491941757584609},"{'valueMACD': -0.28475702051625795, 'valueMACDSignal': -0.22157630892189545, 'valueMACDHist': -0.0631807115943625}",{'value': 9.492912},"{'conversion': 9.1283, 'base': 9.64865, 'spanA': 9.31925, 'spanB': 9.598949999999999, 'currentSpanA': 10.230649999999999, 'currentSpanB': 10.0428, 'laggingSpanA': 10.0787, 'laggingSpanB': 10.33395}"
bancor,{'value': 1.795346666666667},{'value': 1.765931035310518},"{'valueUpperBand': 1.8623570263243425, 'valueMiddleBand': 1.7637599999999993, 'valueLowerBand': 1.6651629736756561}",{'value': 2395094.4600000028},{'value': 29.954724225270617},"{'valueSlowK': 13.513108917070996, 'valueSlowD': 22.713181285126012}",{'value': 0.014863110004048607},"{'valueMACD': -0.03321030971981198, 'valueMACDSignal': -0.019711537952798175, 'valueMACDHist': -0.013498771767013806}",{'value': 1.7436379199999998},"{'conversion': 1.72905, 'base': 1.77645, 'spanA': 1.74305, 'spanB': 1.7726, 'currentSpanA': 1.82275, 'currentSpanB': 1.7796, 'laggingSpanA': 1.772675, 'laggingSpanB': 1.76485}"
lisk,{'value': 1.3955200000000008},{'value': 1.3890107805932141},"{'valueUpperBand': 1.4492416182131134, 'valueMiddleBand': 1.3866100000000006, 'valueLowerBand': 1.3239783817868878}",{'value': 1915017.6899999985},{'value': 53.615900186074064},"{'valueSlowK': 68.05175425078346, 'valueSlowD': 60.16107306854847}",{'value': 0.021951305970802082},"{'valueMACD': -0.0011604568638852175, 'valueMACDSignal': -0.0061294514734023964, 'valueMACDHist': 0.004968994609517179}",{'value': 1.3289},"{'conversion': 1.39595, 'base': 1.39595, 'spanA': 1.39595, 'spanB': 1.39595, 'currentSpanA': 1.40485, 'currentSpanB': 1.3609, 'laggingSpanA': 1.364425, 'laggingSpanB': 1.35775}"
aragon,{'value': 4.1120166666666655},{'value': 4.076944329930397},"{'valueUpperBand': 4.306622359353684, 'valueMiddleBand': 4.041040000000005, 'valueLowerBand': 3.775457640646327}",{'value': 999825.7800000008},{'value': 31.968209613765314},"{'valueSlowK': 13.4183615073833, 'valueSlowD': 21.983934402944357}",{'value': -0.05323007178293926},"{'valueMACD': -0.09810204868883066, 'valueMACDSignal': -0.07633037566931916, 'valueMACDHist': -0.021771673019511495}",{'value': 4.1500302399999995},"{'conversion': 3.9411, 'base': 4.0506, 'spanA': 3.9776, 'spanB': 4.27715, 'currentSpanA': 4.37055, 'currentSpanB': 4.35675, 'laggingSpanA': 4.4764, 'laggingSpanB': 4.3253}"
matic-network,{'value': 0.033563999999999976},{'value': 0.03308965913081696},"{'valueUpperBand': 0.03491541236770699, 'valueMiddleBand': 0.03266600000000002, 'valueLowerBand': 0.030416587632293053}",{'value': 1193902443.2999995},{'value': 35.9488274644622},"{'valueSlowK': 31.774580335731518, 'valueSlowD': 35.4245130485157}",{'value': -0.07017986246582453},"{'valueMACD': -0.0009049260958143082, 'valueMACDSignal': -0.0007539143974057173, 'valueMACDHist': -0.00015101169840859088}",{'value': 0.03299},"{'conversion': 0.031835, 'base': 0.033100000000000004, 'spanA': 0.032350000000000004, 'spanB': 0.034104999999999996, 'currentSpanA': 0.03544, 'currentSpanB': 0.03429, 'laggingSpanA': 0.0341775, 'laggingSpanB': 0.03349}"
